100000  700000
164  20177  84
164  25083  28
164  99152  100
164  15306  52
164  76378  7
164  23791  96
165  18397  62
165  28232  26
165  80607  80
165  90471  25
165  21358  23
165  4054  74
165  75281  4
166  35084  35
166  82583  58
166  79564  42
166  4638  30
166  74688  87
166  19952  95
166  11623  31
167  69631  55
167  31507  20
167  74718  84
167  49140  14
167  71693  40
167  96145  69
167  18084  30
168  11866  6
168  33388  41
168  92288  98
168  46680  69
168  10364  1
168  18000  48
168  21502  89
169  97206  21
169  26245  73
169  53077  31
169  69320  70
169  52989  30
169  36153  33
169  24559  8
170  51682  63
170  33217  10
170  69246  49
170  13686  9
170  814  68
170  48106  15
170  49655  36
171  98471  64
171  13980  59
171  80040  60
171  79946  24
171  53749  45
171  95178  38
171  27492  43
172  499  78
172  12005  83
172  25557  76
172  83134  11
172  21293  71
172  24271  54
172  5354  29
173  70129  74
173  91083  72
173  49301  6
173  73456  22
173  25385  35
173  95848  29
173  12489  86
174  84309  59
174  32775  24
174  8262  73
174  23925  36
174  96390  57
174  13345  99
174  37748  96
175  43968  84
175  74577  44
175  60837  38
175  92147  63
175  99758  43
175  89597  4
175  28382  82
176  79295  89
176  23805  56
176  90688  84
176  42218  66
176  35294  57
176  29939  52
176  19488  91
177  12681  33
177  53527  30
177  8708  15
177  57618  26
177  82639  27
177  19546  58
177  56126  8
178  93880  52
178  61642  60
178  43982  66
178  76326  95
178  93894  65
178  14564  30
178  25502  73
179  76941  54
179  14330  33
179  42281  60
179  85475  41
179  78777  90
179  87705  19
179  34969  87
180  91267  63
180  66375  99
180  39822  28
180  4416  28
180  29842  10
180  50159  36
180  3766  62
181  37762  33
181  30273  20
181  6195  4
181  65255  32
181  517  5
181  27684  75
181  15114  12
182  55545  9
182  1760  6
182  74673  93
182  21173  16
182  75230  14
182  77144  81
182  56510  6
183  49185  50
183  59512  10
183  18384  49
183  15786  8
183  70761  81
183  32990  64
183  39734  67
184  38586  1
184  7586  43
184  21175  92
184  38664  94
184  23304  99
184  70364  62
184  63992  78
185  71090  98
185  89830  13
185  570  61
185  66532  66
185  6712  14
185  18097  51
185  70805  24
186  80889  23
186  43821  17
186  68366  78
186  63373  13
186  50381  77
186  7901  42
186  62619  76
187  91920  44
187  70764  82
187  2059  83
187  85468  53
187  12552  62
187  5896  18
187  62430  28
188  76992  87
188  45461  57
188  54993  2
188  43240  12
188  80385  71
188  83514  71
188  98309  86
189  86121  58
189  67246  98
189  30880  100
189  59703  84
189  36168  20
189  95970  38
189  89830  100
190  54619  19
190  68806  16
190  63838  16
190  57130  25
190  59916  67
190  47473  97
190  50161  79
191  74280  72
191  85325  46
191  60781  78
191  76559  55
191  52116  9
191  49622  9
191  21946  53
192  36096  12
192  79011  61
192  43283  11
192  98283  11
192  92302  61
192  59636  21
192  12685  7
193  46606  9
193  65778  25
193  40050  94
193  76545  17
193  91625  82
193  77062  86
193  55639  4
194  47508  23
194  47014  96
194  84852  84
194  85699  58
194  47801  57
194  21090  2
194  74500  11
195  26675  96
195  11529  92
195  64648  82
195  13294  21
195  56169  16
195  77477  25
195  13054  65
196  82488  96
196  88520  94
196  54807  6
196  92232  79
196  41350  31
196  4210  88
196  14633  75
197  42985  71
197  14554  12
197  59389  65
197  59939  89
197  80608  63
197  21159  17
197  89176  78
198  69493  78
198  22030  91
198  69861  52
198  84028  22
198  91440  41
198  93365  78
198  49137  6
199  3012  85
199  40656  76
199  93160  40
199  42650  100
199  42173  75
199  91991  67
199  16743  23
200  93022  61
200  69835  48
200  81294  18
200  4102  66
200  58249  75
200  82333  89
200  98766  59
201  59003  11
201  20720  11
201  82438  93
201  50737  49
201  34009  51
201  50934  20
201  38  33
202  49695  94
202  36011  12
202  75906  59
202  23208  54
202  75575  65
202  91908  3
202  90815  70
203  55440  15
203  81088  96
203  24449  68
203  27314  68
203  96561  54
203  7671  84
203  74957  69
204  40227  1
204  45323  38
204  65200  72
204  99897  18
204  29342  59
204  70436  89
204  72472  74
205  70108  21
205  56293  94
205  44553  90
205  53014  29
205  77604  99
205  20418  51
205  61989  47
206  1044  66
206  99689  12
206  1767  44
206  47639  5
206  21168  58
206  88123  47
206  49332  4
207  74121  28
207  81465  52
207  38206  30
207  97843  17
207  12189  51
207  86686  3
207  60674  46
208  93398  16
208  51253  89
208  10387  29
208  89718  23
208  80724  27
208  93197  62
208  37080  85
209  50843  91
209  89598  29
209  12312  44
209  55545  53
209  33926  39
209  28073  88
209  5458  16
210  74328  62
210  40783  78
210  43145  29
210  31814  36
210  13902  40
210  88724  24
210  38965  92
211  11459  60
211  15344  49
211  35528  53
211  55134  9
211  25542  22
211  69900  70
211  26731  82
212  63577  14
212  49508  55
212  84399  70
212  52416  81
212  93648  28
212  95476  89
212  3187  65
213  12248  7
213  34039  28
213  20703  32
213  24080  58
213  21147  28
213  42441  39
213  34442  43
214  98503  66
214  25370  12
214  63909  3
214  41844  74
214  87081  37
214  93003  65
214  65971  2
215  5588  41
215  29109  56
215  30206  88
215  74415  2
215  49666  100
215  12160  58
215  61391  44
216  16883  83
216  22904  40
216  17185  62
216  68605  33
216  45028  85
216  46525  57
216  7415  8
217  4949  9
217  93905  88
217  66836  33
217  61137  58
217  78526  65
217  83955  29
217  42234  24
218  2231  45
218  7371  33
218  11305  86
218  84680  65
218  17656  27
218  92680  11
218  76721  91
219  73502  25
219  11350  68
219  48803  11
219  23505  64
219  27161  65
219  61929  28
219  10102  1
220  68383  45
220  74986  70
220  14824  56
220  46769  79
220  38928  70
220  8275  22
220  29238  58
221  17321  90
221  24813  43
221  26684  3
221  87542  53
221  25068  88
221  16289  8
221  25034  33
222  87282  4
222  93233  28
222  75751  86
222  74971  20
222  15024  66
222  8575  18
222  43819  94
223  98201  35
223  26792  58
223  10120  46
223  91794  13
223  83080  70
223  7519  31
223  52499  50
224  53658  91
224  76769  9
224  9427  73
224  76653  18
224  64994  12
224  67442  32
224  40708  69
225  60764  2
225  11923  38
225  9259  79
225  55047  95
225  78164  84
225  71911  85
225  38774  88
226  35233  70
226  21308  63
226  94485  49
226  4136  31
226  31699  95
226  45627  51
226  76135  16
227  45069  92
227  32600  72
227  41570  2
227  27397  11
227  12874  93
227  13012  29
227  70901  13
228  2380  40
228  67070  52
228  8415  65
228  46885  12
228  24645  92
228  9128  42
228  61400  98
229  72496  7
229  21292  12
229  49539  83
229  59454  19
229  95124  4
229  25981  9
229  76874  38
230  34181  100
230  44294  50
230  90144  19
230  71947  76
230  65776  82
230  18777  31
230  48336  29
231  7449  98
231  98163  62
231  57248  38
231  60815  96
231  66631  8
231  87857  26
231  98344  67
232  10016  51
232  51143  76
232  524  66
232  70013  30
232  53381  74
232  14158  57
232  59224  54
233  20007  53
233  51377  63
233  73939  12
233  77267  95
233  54310  83
233  27397  10
233  9297  45
234  56736  66
234  3659  4
234  83904  5
234  1847  56
234  65951  76
234  53628  64
234  80153  12
235  19785  88
235  64117  78
235  85252  91
235  50684  21
235  12000  91
235  20243  12
235  6837  63
236  67661  70
236  34715  79
236  41067  58
236  9900  51
236  12020  99
236  6644  69
236  8177  2
237  76047  89
237  17721  82
237  29250  12
237  68348  45
237  18477  97
237  6079  57
237  68237  63
238  75640  40
238  86480  88
238  78267  1
238  1607  92
238  357  99
238  73347  71
238  61634  2
239  3591  85
239  48059  28
239  34595  87
239  58098  90
239  41236  28
239  42969  1
239  61465  41
240  89789  11
240  41884  24
240  7832  24
240  69157  15
240  5813  70
240  25753  63
240  84882  36
241  28236  72
241  66425  71
241  2867  94
241  31129  27
241  12334  100
241  61304  27
241  76689  42
242  92490  20
242  62682  16
242  31924  99
242  6453  69
242  82962  90
242  6502  84
242  88994  21
243  19614  43
243  27  51
243  32957  33
243  42307  93
243  98965  3
243  67907  91
243  24720  3
244  8135  76
244  85993  33
244  49595  70
244  19044  48
244  66428  96
244  96965  94
244  39167  95
245  14485  59
245  33322  67
245  56871  43
245  35593  55
245  71130  46
245  94548  73
245  89781  97
246  11698  47
246  33541  7
246  84401  44
246  23782  15
246  71776  18
246  89303  93
246  97012  69
247  34276  38
247  67799  33
247  48738  67
247  73587  93
247  80505  61
247  99460  16
247  16396  86
248  29282  64
248  76269  65
248  9079  26
248  90505  16
248  8527  87
248  97741  24
248  62909  51
249  93060  21
249  25098  80
249  33019  18
249  99158  31
249  20722  52
249  21072  29
249  76023  100
250  38953  57
250  22750  77
250  65705  49
250  6688  34
250  92015  58
250  1060  11
250  32277  1
251  40017  71
251  86073  56
251  45443  87
251  67915  87
251  20130  84
251  13588  88
251  45732  60
252  37586  100
252  95720  72
252  79270  4
252  15654  97
252  40442  99
252  28149  38
252  74227  22
253  37929  95
253  32564  28
253  88748  99
253  72932  91
253  34891  31
253  85724  18
253  5130  8
254  27184  40
254  3375  34
254  9147  90
254  27132  72
254  60156  37
254  19480  47
254  63085  77
255  95875  85
255  96386  88
255  30546  50
255  2901  87
255  84309  14
255  10913  28
255  52951  43
256  32186  72
256  71350  55
256  29969  61
256  54597  60
256  70674  99
256  21686  49
256  35620  68
257  28105  34
257  72430  91
257  6095  67
257  28032  12
257  56270  59
257  23400  58
257  4746  24
258  76656  76
258  35221  77
258  94976  86
258  3769  93
258  23568  25
258  94145  87
258  59191  14
259  89326  39
259  22744  4
259  10313  12
259  52897  73
259  5064  97
259  30828  66
259  20704  20
260  49244  72
260  35601  50
260  31530  39
260  35798  66
260  50917  44
260  45780  48
260  69649  78
261  77149  81
261  74561  39
261  27993  62
261  91518  77
261  92589  43
261  16146  5
261  31780  70
262  42676  66
262  45754  16
262  20541  70
262  28  2
262  63157  11
262  77586  94
262  96707  94
263  76473  16
263  58300  6
263  20447  54
263  13038  50
263  1823  21
263  56455  23
263  43847  60
264  28197  29
264  95753  17
264  77658  77
264  22300  94
264  30904  37
264  64264  36
264  24516  20
265  55622  94
265  90153  45
265  22516  77
265  22624  81
265  55010  38
265  82924  86
265  70743  42
266  72758  3
266  78699  44
266  24163  86
266  39335  93
266  57124  80
266  99084  95
266  97387  53
267  32194  78
267  43610  55
267  31068  69
267  39599  51
267  51053  55
267  97433  9
267  99402  91
268  20142  45
268  32195  88
268  65175  32
268  54938  83
268  66297  82
268  28273  83
268  47434  57
269  65237  31
269  49416  71
269  31312  34
269  10547  46
269  89521  98
269  60827  13
269  15  34
270  55502  78
270  91984  36
270  29946  67
270  43871  70
270  70548  85
270  24782  33
270  13642  82
271  57502  48
271  6224  16
271  98862  62
271  92233  27
271  30741  63
271  53965  60
271  69578  36
272  72056  24
272  78927  60
272  92924  66
272  28940  47
272  43668  22
272  52084  52
272  21674  44
273  2587  100
273  48418  62
273  71794  56
273  18615  95
273  82917  74
273  85208  2
273  73381  59
274  49805  92
274  98845  82
274  59964  99
274  74593  91
274  75721  55
274  82430  41
274  79182  61
275  37556  83
275  47980  66
275  26496  16
275  93251  89
275  86790  26
275  98458  87
275  46383  46
276  18715  94
276  1643  82
276  31313  97
276  53967  67
276  37791  62
276  89490  60
276  27636  20
277  78337  93
277  43324  82
277  38603  6
277  23628  19
277  56106  64
277  8093  39
277  41550  34
278  87109  37
278  33232  97
278  97029  10
278  18545  18
278  39937  37
278  77310  40
278  31291  15
279  4005  69
279  38057  85
279  62018  76
279  40666  13
279  59611  60
279  21189  49
279  82634  33
280  92735  7
280  90651  11
280  4708  76
280  12421  9
280  97722  8
280  27200  58
280  50462  8
281  85191  11
281  70601  37
281  49579  39
281  38894  16
281  6916  73
281  47648  44
281  22752  40
282  87996  27
282  91615  86
282  66420  81
282  73099  57
282  16210  90
282  27646  66
282  41077  52
283  82442  74
283  16816  45
283  25747  4
283  35284  41
283  20134  54
283  15887  53
283  83813  69
284  50283  88
284  67569  63
284  95705  97
284  64813  65
284  98810  46
284  40017  10
284  92262  79
285  42362  32
285  50513  12
285  88057  61
285  55000  98
285  98343  7
285  53524  45
285  83908  85
286  82788  81
286  20058  79
286  40941  10
286  76263  67
286  48122  37
286  48808  27
286  4438  37
